emp_id,department,age,experience,salary,duplicated,en_department
Employee_49749,IT,35.0,6.0,67250.0,False,3
Employee_80602,Finance,27.0,0.0,52750.0,False,1
Employee_80602,Finance,27.0,0.0,52750.0,True,1
Employee_137589,IT,21.0,3.0,59500.0,False,3
Employee_123929,HR,33.0,13.0,84250.0,False,2
Employee_127582,IT,20.0,0.0,52000.0,False,3
Employee_91383,HR,41.0,8.0,72000.0,False,2
Employee_63303,IT,62.0,19.0,100200.0,False,3
Employee_70901,Admin,31.0,4.0,61550.0,False,0
Employee_92246,Marketing,58.0,40.0,152400.0,False,4
Employee_53373,Admin,25.0,7.0,68800.0,False,0
Employee_188243,Finance,41.0,22.0,108000.0,False,1
Employee_16844,HR,23.0,2.0,56500.0,False,2
Employee_189362,IT,38.0,5.0,65000.0,False,3
Employee_196935,Finance,39.0,12.0,83000.0,False,1
Employee_9046,IT,22.0,2.0,57000.0,False,3
Employee_85896,IT,57.0,33.0,135200.0,False,3
Employee_191807,Marketing,44.0,8.0,72200.0,False,4
Employee_133341,Marketing,19.0,0.0,51700.0,False,4
Employee_78372,IT,52.0,19.0,100200.0,False,3
Employee_114898,IT,35.0,0.0,52250.0,False,3
Employee_134003,HR,35.0,0.0,51750.0,False,2
Employee_130150,Admin,62.0,22.0,107000.0,False,0
Employee_148096,Finance,22.0,3.0,60000.0,False,1
Employee_20736,HR,21.0,1.0,54000.0,False,2
Employee_25450,IT,46.0,18.0,97500.0,False,3
Employee_105826,IT,32.0,5.0,64750.0,False,3
Employee_100930,Finance,51.0,3.0,60700.0,False,1
Employee_170685,HR,29.0,8.0,71750.0,False,2
Employee_179080,IT,39.0,18.0,97500.0,False,3
Employee_142835,Admin,18.0,0.0,51300.0,False,0
Employee_106202,Admin,19.0,0.0,51300.0,False,0
Employee_195618,Admin,39.0,4.0,61800.0,False,0
Employee_198265,Finance,35.0,13.0,85250.0,False,1
Employee_189037,HR,21.0,0.0,51500.0,False,2
Employee_176624,IT,29.0,11.0,79750.0,False,3
Employee_132647,IT,25.0,3.0,59500.0,False,3
Employee_14128,IT,33.0,0.0,52250.0,False,3
Employee_192826,IT,31.0,7.0,69750.0,False,3
Employee_49700,HR,40.0,1.0,54500.0,False,2
Employee_192650,IT,44.0,20.0,102500.0,False,3
Employee_192650,IT,44.0,20.0,102500.0,True,3
Employee_90539,Admin,39.0,0.0,51800.0,False,0
Employee_166515,Finance,29.0,2.0,57750.0,False,1
Employee_143900,IT,62.0,24.0,112700.0,False,3
Employee_57064,Admin,49.0,6.0,66800.0,False,0
Employee_91568,Admin,29.0,5.0,64050.0,False,0
Employee_7315,IT,29.0,3.0,59750.0,False,3
Employee_104260,Marketing,19.0,1.0,54200.0,False,4
Employee_142711,Admin,37.0,15.0,89300.0,False,0
Employee_1258,HR,57.0,20.0,102200.0,False,2
Employee_100306,HR,61.0,22.0,107200.0,False,2
Employee_3131,IT,33.0,4.0,62250.0,False,3
Employee_38158,IT,19.0,0.0,52000.0,False,3
Employee_34968,Finance,56.0,34.0,138200.0,False,1
Employee_177394,IT,19.0,0.0,52000.0,False,3
Employee_2624,Finance,59.0,34.0,138200.0,False,1
Employee_147539,Admin,59.0,39.0,149500.0,False,0
Employee_75306,IT,32.0,5.0,64750.0,False,3
Employee_63083,Finance,38.0,6.0,68000.0,False,1
Employee_125950,Marketing,45.0,19.0,99700.0,False,4
Employee_156668,IT,22.0,4.0,62000.0,False,3
Employee_93427,HR,54.0,31.0,129700.0,False,2
Employee_117577,Marketing,63.0,36.0,142400.0,False,4
Employee_79834,Finance,64.0,12.0,83200.0,False,1
Employee_169110,HR,62.0,20.0,102200.0,False,2
Employee_169647,Finance,32.0,12.0,82750.0,False,1
Employee_85474,Marketing,55.0,22.0,107400.0,False,4
Employee_16277,Marketing,34.0,11.0,79450.0,False,4
Employee_41471,Marketing,50.0,13.0,84700.0,False,4
Employee_137375,Marketing,57.0,14.0,87400.0,False,4
Employee_128982,Admin,53.0,14.0,87000.0,False,0
Employee_114058,Marketing,40.0,14.0,87200.0,False,4
Employee_114058,Marketing,40.0,14.0,87200.0,True,4
Employee_123879,Finance,54.0,18.0,98200.0,False,1
Employee_72627,Marketing,42.0,4.0,62200.0,False,4
Employee_61833,HR,49.0,15.0,89500.0,False,2
Employee_178357,Finance,25.0,5.0,65000.0,False,1
Employee_199309,Marketing,59.0,35.0,139900.0,False,4
Employee_32705,HR,21.0,2.0,56500.0,False,2
Employee_173845,HR,62.0,1.0,54700.0,False,2
Employee_9991,Admin,21.0,0.0,51300.0,False,0
Employee_32696,Finance,51.0,10.0,78200.0,False,1
Employee_114372,IT,18.0,0.0,52000.0,False,3
Employee_3788,HR,18.0,0.0,51500.0,False,2
Employee_56945,IT,36.0,13.0,85000.0,False,3
Employee_197420,HR,56.0,9.0,74700.0,False,2
Employee_81704,HR,18.0,0.0,51500.0,False,2
Employee_6467,Admin,57.0,35.0,139500.0,False,0
Employee_61629,HR,21.0,0.0,51500.0,False,2
Employee_188483,Admin,50.0,31.0,129300.0,False,0
Employee_141633,Finance,34.0,0.0,52750.0,False,1
Employee_48909,Admin,33.0,12.0,81550.0,False,0
Employee_53951,Admin,53.0,15.0,89500.0,False,0
Employee_118526,Finance,25.0,6.0,67500.0,False,1
Employee_6463,Finance,46.0,0.0,53000.0,False,1
Employee_181353,Admin,49.0,7.0,69300.0,False,0
Employee_131837,HR,21.0,0.0,51500.0,False,2
Employee_50310,Finance,59.0,27.0,120700.0,False,1
Employee_71316,Finance,44.0,18.0,98000.0,False,1
Employee_150241,Finance,38.0,13.0,85500.0,False,1
Employee_134105,Finance,23.0,3.0,60000.0,False,1
Employee_12463,IT,58.0,22.0,107700.0,False,3
Employee_101925,IT,18.0,0.0,52000.0,False,3
Employee_163636,HR,29.0,1.0,54250.0,False,2
Employee_93250,Marketing,19.0,1.0,54200.0,False,4
Employee_93250,Marketing,19.0,1.0,54200.0,True,4
Employee_82493,Marketing,29.0,8.0,71950.0,False,4
Employee_10588,IT,63.0,25.0,115200.0,False,3
Employee_49642,Finance,42.0,24.0,113000.0,False,1
Employee_136675,Finance,40.0,0.0,53000.0,False,1
Employee_199450,Admin,38.0,15.0,89300.0,False,0
Employee_174959,IT,52.0,24.0,112700.0,False,3
Employee_50026,HR,31.0,4.0,61750.0,False,2
Employee_144792,HR,41.0,15.0,89500.0,False,2
Employee_85702,HR,37.0,18.0,97000.0,False,2
Employee_102491,Admin,62.0,30.0,127000.0,False,0
Employee_125013,Admin,35.0,7.0,69050.0,False,0
Employee_20423,IT,29.0,9.0,74750.0,False,3
Employee_892,HR,26.0,7.0,69250.0,False,2
Employee_174576,Finance,52.0,7.0,70700.0,False,1
Employee_47710,Admin,18.0,0.0,51300.0,False,0
Employee_90854,Marketing,62.0,33.0,134900.0,False,4
Employee_133505,IT,19.0,1.0,54500.0,False,3
Employee_172147,IT,41.0,3.0,60000.0,False,3
Employee_25056,Finance,62.0,31.0,130700.0,False,1
Employee_1701,Finance,61.0,36.0,143200.0,False,1
Employee_148650,HR,60.0,4.0,62200.0,False,2
Employee_76390,Admin,30.0,3.0,59050.0,False,0
Employee_24405,IT,42.0,18.0,97500.0,False,3
Employee_95041,Finance,28.0,10.0,77750.0,False,1
Employee_182890,HR,64.0,39.0,149700.0,False,2
Employee_188913,HR,30.0,7.0,69250.0,False,2
Employee_8317,Marketing,59.0,5.0,64900.0,False,4
Employee_144770,Finance,25.0,1.0,55000.0,False,1
Employee_77549,IT,53.0,19.0,100200.0,False,3
Employee_156206,HR,34.0,8.0,71750.0,False,2
Employee_116861,IT,47.0,28.0,122500.0,False,3
Employee_61593,HR,44.0,22.0,107000.0,False,2
Employee_106661,Marketing,45.0,10.0,77200.0,False,4
Employee_186344,Finance,35.0,16.0,92750.0,False,1
Employee_75469,Admin,33.0,0.0,51550.0,False,0
Employee_66166,IT,27.0,0.0,52250.0,False,3
Employee_150344,Admin,45.0,27.0,119300.0,False,0
Employee_10273,HR,32.0,8.0,71750.0,False,2
Employee_191854,Admin,42.0,1.0,54300.0,False,0
Employee_85871,Finance,63.0,5.0,65700.0,False,1
Employee_85871,Finance,63.0,5.0,65700.0,True,1
Employee_121752,IT,51.0,21.0,105200.0,False,3
Employee_115297,Admin,26.0,0.0,51550.0,False,0
Employee_120516,IT,32.0,13.0,84750.0,False,3
Employee_184668,IT,57.0,35.0,140200.0,False,3
Employee_113158,Finance,62.0,9.0,75700.0,False,1
Employee_118234,IT,57.0,24.0,112700.0,False,3
Employee_101835,Admin,50.0,2.0,56800.0,False,0
Employee_134117,Marketing,25.0,4.0,61700.0,False,4
Employee_132182,Marketing,25.0,0.0,51700.0,False,4
Employee_172150,HR,39.0,16.0,92000.0,False,2
Employee_98523,HR,21.0,0.0,51500.0,False,2
Employee_177742,Finance,54.0,14.0,88200.0,False,1
Employee_184938,Marketing,24.0,5.0,64200.0,False,4
Employee_187388,HR,46.0,5.0,64500.0,False,2
Employee_39147,Finance,20.0,0.0,52500.0,False,1
Employee_50083,HR,55.0,31.0,129700.0,False,2
Employee_194679,Finance,30.0,12.0,82750.0,False,1
Employee_100907,Marketing,24.0,2.0,56700.0,False,4
Employee_71424,HR,35.0,17.0,94250.0,False,2
Employee_115021,Marketing,48.0,30.0,127200.0,False,4
Employee_107790,IT,64.0,38.0,147700.0,False,3
Employee_57808,Finance,51.0,23.0,110700.0,False,1
Employee_199447,HR,23.0,5.0,64000.0,False,2
Employee_140778,Admin,25.0,5.0,63800.0,False,0
Employee_64295,Marketing,30.0,11.0,79450.0,False,4
Employee_51141,Admin,34.0,7.0,69050.0,False,0
Employee_173455,Admin,19.0,0.0,51300.0,False,0
Employee_118904,Admin,28.0,3.0,59050.0,False,0
Employee_145580,Marketing,30.0,12.0,81950.0,False,4
Employee_190062,IT,25.0,3.0,59500.0,False,3
Employee_74809,Finance,39.0,5.0,65500.0,False,1
Employee_169406,Marketing,27.0,2.0,56950.0,False,4
Employee_89281,HR,21.0,3.0,59000.0,False,2
Employee_170111,HR,29.0,5.0,64250.0,False,2
Employee_170111,HR,29.0,5.0,64250.0,True,2
Employee_5634,Finance,45.0,19.0,100500.0,False,1
Employee_30120,Finance,53.0,0.0,53200.0,False,1
Employee_14729,Finance,36.0,6.0,68000.0,False,1
Employee_167122,IT,23.0,3.0,59500.0,False,3
Employee_171816,HR,64.0,17.0,94700.0,False,2
Employee_2821,Admin,51.0,32.0,132000.0,False,0
Employee_132788,HR,58.0,26.0,117200.0,False,2
Employee_43444,HR,33.0,8.0,71750.0,False,2
Employee_76804,IT,34.0,15.0,89750.0,False,3
Employee_177896,Marketing,59.0,28.0,122400.0,False,4
Employee_149403,Finance,20.0,2.0,57500.0,False,1
Employee_171913,Admin,64.0,19.0,99500.0,False,0
Employee_91407,Finance,20.0,2.0,57500.0,False,1
Employee_98700,HR,63.0,30.0,127200.0,False,2
Employee_16949,HR,65.0,17.0,94700.0,False,2
Employee_6718,IT,52.0,25.0,115200.0,False,3
Employee_71101,IT,39.0,4.0,62500.0,False,3
Employee_144241,HR,36.0,1.0,54500.0,False,2
Employee_15749,IT,51.0,32.0,132700.0,False,3
Employee_97571,Admin,49.0,11.0,79300.0,False,0
Employee_135836,IT,30.0,7.0,69750.0,False,3
Employee_180141,Marketing,46.0,10.0,77200.0,False,4
Employee_155004,HR,43.0,5.0,64500.0,False,2
Employee_28274,Admin,57.0,25.0,114500.0,False,0
Employee_113693,Marketing,25.0,1.0,54200.0,False,4
Employee_105802,HR,24.0,6.0,66500.0,False,2
Employee_130337,Finance,38.0,1.0,55500.0,False,1
Employee_17524,Finance,31.0,6.0,67750.0,False,1
Employee_181178,Admin,54.0,3.0,59500.0,False,0
Employee_34122,Marketing,29.0,7.0,69450.0,False,4
Employee_96891,HR,61.0,32.0,132200.0,False,2
Employee_147458,Admin,35.0,6.0,66550.0,False,0
Employee_48186,HR,23.0,4.0,61500.0,False,2
Employee_139282,IT,52.0,5.0,65200.0,False,3
Employee_182796,HR,58.0,8.0,72200.0,False,2
