emp_id,department,age,experience,salary
Employee_49749,IT,35,6,67250
Employee_80602,Finance,27,0,52750
Employee_80602,Finance,27,0,52750
Employee_137589,IT,21,3,59500
Employee_123929,HR,33,13,84250
Employee_127582,IT,20,0,52000
Employee_91383,HR,41,8,72000
Employee_63303,IT,62,19,100200
Employee_122840,IT,50,5,
Employee_181179,Marketing,24,650,66700
Employee_181179,Marketing,24,650,66700
Employee_70901,Admin,31,4,61550
Employee_92246,Marketing,58,40,152400
Employee_53456,Finance,450,19,100500
Employee_53373,Admin,25,7,68800
Employee_188243,Finance,41,22,108000
Employee_16844,HR,23,2,56500
Employee_135146,,18,0,51500
Employee_189362,IT,38,5,65000
Employee_98328,IT,800,1,54750
Employee_196935,Finance,39,12,83000
Employee_9046,IT,22,2,57000
Employee_85896,IT,57,33,135200
Employee_191807,Marketing,44,8,72200
Employee_133341,Marketing,19,0,51700
Employee_78372,IT,52,19,100200
Employee_114898,IT,35,0,52250
Employee_134003,HR,35,0,51750
Employee_130150,Admin,62,22,107000
Employee_148096,Finance,22,3,60000
Employee_20736,HR,21,1,54000
Employee_25450,IT,46,18,97500
Employee_105826,IT,32,5,64750
Employee_100930,Finance,51,3,60700
Employee_170685,HR,29,8,71750
Employee_179080,IT,39,18,97500
Employee_90410,Admin,34,,84050
Employee_142835,Admin,18,0,51300
Employee_106202,Admin,19,0,51300
Employee_195618,Admin,39,4,61800
Employee_198265,Finance,35,13,85250
Employee_189037,HR,21,0,51500
Employee_60165,IT,52,458,55200
Employee_176624,IT,29,11,79750
Employee_132647,IT,25,3,59500
Employee_14128,IT,33,0,52250
Employee_192826,IT,31,7,69750
Employee_49700,HR,40,1,54500
Employee_192650,IT,44,20,102500
Employee_192650,IT,44,20,102500
Employee_90539,Admin,39,0,51800
Employee_166515,Finance,29,2,57750
Employee_143900,IT,62,24,112700
Employee_57064,Admin,49,6,66800
Employee_91568,Admin,29,5,64050
Employee_7315,IT,29,3,59750
Employee_104260,Marketing,19,1,54200
Employee_142711,Admin,37,15,89300
Employee_1258,HR,57,20,102200
Employee_100306,HR,61,22,107200
Employee_3131,IT,33,4,62250
Employee_38158,IT,19,0,52000
Employee_137490,IT,566,16,92500
Employee_34968,Finance,56,34,138200
Employee_177394,IT,19,0,52000
Employee_130783,HR,63,45,164700
Employee_2624,Finance,59,34,138200
Employee_147539,Admin,59,39,149500
Employee_75306,IT,32,5,64750
Employee_63083,Finance,38,6,68000
Employee_125950,Marketing,45,19,99700
,HR,24,4,61500
Employee_156668,IT,22,4,62000
Employee_93427,HR,54,31,129700
Employee_117577,Marketing,63,36,142400
Employee_79834,Finance,64,12,83200
Employee_169110,HR,62,20,102200
Employee_169647,Finance,32,12,82750
Employee_85474,Marketing,55,22,107400
Employee_16277,Marketing,34,11,79450
Employee_41471,Marketing,50,13,84700
Employee_137375,Marketing,57,14,87400
Employee_128982,Admin,53,14,87000
Employee_114058,Marketing,40,14,87200
Employee_114058,Marketing,40,14,87200
Employee_123879,Finance,54,18,98200
Employee_1809,Admin,64,46,167000
Employee_179015,HR,22,,59000
Employee_72627,Marketing,42,4,62200
Employee_61833,HR,49,15,89500
Employee_179219,Finance,43,869,65500
Employee_178357,Finance,25,5,65000
Employee_199309,Marketing,59,35,139900
Employee_32705,HR,21,2,56500
Employee_173845,HR,62,1,54700
Employee_9991,Admin,21,0,51300
Employee_32696,Finance,51,10,78200
Employee_114372,IT,18,0,52000
Employee_3788,HR,18,0,51500
Employee_56945,IT,36,13,85000
Employee_197420,HR,56,9,74700
Employee_81704,HR,18,0,51500
Employee_6467,Admin,57,35,139500
Employee_138435,IT,,26,117700
Employee_61629,HR,21,0,51500
Employee_188483,Admin,50,31,129300
Employee_141633,Finance,34,0,52750
Employee_48909,Admin,33,12,81550
Employee_53951,Admin,53,15,89500
Employee_118526,Finance,25,6,67500
Employee_6463,Finance,46,0,53000
Employee_181353,Admin,49,7,69300
Employee_131837,HR,21,0,51500
Employee_50310,Finance,59,27,120700
Employee_71316,Finance,44,18,98000
Employee_150241,Finance,38,13,85500
Employee_134105,Finance,23,3,60000
Employee_12463,IT,58,22,107700
Employee_101925,IT,18,0,52000
Employee_71420,Marketing,1205,0,52200
Employee_163636,HR,29,1,54250
Employee_93250,Marketing,19,1,54200
Employee_93250,Marketing,19,1,54200
Employee_82493,Marketing,29,8,71950
Employee_10588,IT,63,25,115200
Employee_49642,Finance,42,24,113000
Employee_136675,Finance,40,0,53000
Employee_199450,Admin,38,15,89300
Employee_174959,IT,52,24,112700
Employee_50026,HR,31,4,61750
Employee_144792,HR,41,15,89500
Employee_85702,HR,37,18,97000
Employee_102491,Admin,62,30,127000
Employee_125013,Admin,35,7,69050
Employee_20423,IT,29,9,74750
Employee_892,HR,26,7,69250
Employee_174576,Finance,52,7,70700
Employee_47710,Admin,18,0,51300
Employee_90854,Marketing,62,33,134900
Employee_133505,IT,19,1,54500
Employee_29818,HR,19,,51500
Employee_172147,IT,41,3,60000
Employee_25056,Finance,62,31,130700
Employee_1701,Finance,61,36,143200
Employee_148650,HR,60,4,62200
Employee_76390,Admin,30,3,59050
Employee_24405,IT,42,18,97500
Employee_95041,Finance,28,10,77750
Employee_182890,HR,64,39,149700
Employee_188913,HR,30,7,69250
Employee_8317,Marketing,59,5,64900
Employee_144770,Finance,25,1,55000
Employee_77549,IT,53,19,100200
Employee_30630,Admin,45,15,
Employee_156206,HR,34,8,71750
Employee_116861,IT,47,28,122500
Employee_61593,HR,44,22,107000
Employee_106661,Marketing,45,10,77200
Employee_186344,Finance,35,16,92750
Employee_75469,Admin,33,0,51550
Employee_66166,IT,27,0,52250
Employee_150344,Admin,45,27,119300
Employee_10273,HR,32,8,71750
Employee_191854,Admin,42,1,54300
,Marketing,51,3,59900
Employee_85871,Finance,63,5,65700
Employee_85871,Finance,63,5,65700
Employee_121752,IT,51,21,105200
Employee_115297,Admin,26,0,51550
Employee_120516,IT,32,13,84750
Employee_184668,IT,57,35,140200
Employee_113158,Finance,62,9,75700
Employee_118234,IT,57,24,112700
Employee_2493,Admin,233,12,81800
Employee_101835,Admin,50,2,56800
Employee_134117,Marketing,25,4,61700
Employee_132182,Marketing,25,0,51700
Employee_172150,HR,39,16,92000
Employee_98523,HR,21,0,51500
Employee_177742,Finance,54,14,88200
Employee_19193,Finance,22,1,
Employee_184938,Marketing,24,5,64200
Employee_187388,HR,46,5,64500
Employee_39147,Finance,20,0,52500
Employee_50083,HR,55,31,129700
Employee_194679,Finance,30,12,82750
Employee_100907,Marketing,24,2,56700
Employee_71424,HR,35,17,94250
Employee_115021,Marketing,48,30,127200
Employee_107790,IT,64,38,147700
Employee_57808,Finance,51,23,110700
Employee_199447,HR,23,5,64000
Employee_140778,Admin,25,5,63800
Employee_64295,Marketing,30,11,79450
,IT,61,22,107700
Employee_51141,Admin,34,7,69050
Employee_173455,Admin,19,0,51300
Employee_118904,Admin,28,3,59050
Employee_145580,Marketing,30,12,81950
