State,Population,Income,Illiteracy,Life_Exp,Murder,HS_Grad,Frost
Alabama,21252,3456,0.6,69.93,4.3,68.1,173
Alaska,18170,3356,2.0,68.22,2.4,45.5,154
Arizona,1169,5298,1.0,72.55,9.2,44.9,150
Arkansas,9415,6315,2.7,73.31,3.4,54.0,71
California,5394,3881,2.9,70.36,2.4,39.4,88
Colorado,20082,4083,2.5,73.11,9.0,78.8,96
Connecticut,2882,5261,1.2,72.4,14.3,51.3,49
Delaware,2579,3187,2.2,73.41,15.8,73.5,25
Florida,12755,4138,1.6,73.84,3.4,51.0,171
Georgia,9048,5874,2.8,72.54,10.1,42.7,186
Hawaii,8321,3669,1.7,69.89,14.9,66.0,56
Idaho,10926,6452,2.4,68.39,13.3,71.2,102
Illinois,9073,3271,1.0,74.6,14.1,49.2,167
Indiana,16658,4620,2.7,72.5,3.1,41.3,190
Iowa,18694,5207,1.2,72.09,14.5,53.0,56
Kansas,4832,5087,1.7,73.29,13.9,41.9,40
Kentucky,14133,5442,0.7,70.67,15.9,58.8,141
Louisiana,676,5786,2.3,72.77,9.1,47.0,164
Maine,11446,3456,1.2,69.11,1.0,67.5,184
Maryland,8930,6980,1.8,69.25,14.7,74.2,76
Massachusetts,21237,5079,2.0,69.07,12.4,59.3,199
Michigan,17678,6762,0.5,70.27,1.3,76.8,78
Minnesota,8146,3237,1.1,71.97,2.2,67.9,17
Mississippi,17755,6136,0.8,72.62,15.2,42.4,135
Missouri,20176,4733,2.9,74.5,12.3,66.0,182
Montana,10514,4634,3.0,72.55,7.6,58.3,30
Nebraska,8423,3920,0.7,68.15,9.3,61.5,1
Nevada,2626,5899,2.1,69.6,14.6,73.7,18
New Hampshire,17147,3974,1.2,71.4,9.1,67.6,146
New Jersey,19181,4936,1.1,71.31,7.1,39.2,168
New Mexico,14424,4451,1.6,71.27,11.9,65.3,165
New York,3524,3248,1.5,70.38,13.9,46.2,48
North Carolina,17873,4837,0.9,69.28,7.9,74.4,19
North Dakota,14820,6309,2.7,71.85,1.8,80.0,3
Ohio,3356,6794,2.4,69.65,7.1,56.7,102
Oklahoma,2221,3674,1.4,74.9,5.0,70.3,116
Oregon,9647,4732,2.2,73.11,12.8,64.8,124
Pennsylvania,5372,3777,1.2,74.78,9.7,59.4,191
Rhode Island,10576,3234,0.6,71.34,14.8,58.9,14
South Carolina,16940,3328,2.6,68.48,2.0,73.8,103
South Dakota,4228,6856,2.7,69.72,9.9,62.9,107
Tennessee,21840,5390,1.9,70.21,4.9,65.1,80
Texas,8121,4087,1.5,72.7,5.5,49.2,192
Utah,2677,3038,1.6,74.99,15.9,38.3,54
Vermont,16876,4086,0.8,70.44,2.0,46.0,72
Virginia,5469,4794,2.6,72.92,10.2,79.4,167
Washington,17632,3032,2.2,71.88,15.0,39.7,34
West Virginia,8966,3472,2.7,73.2,3.3,47.7,53
Wisconsin,11535,3833,2.2,73.97,8.6,46.3,13
Wyoming,3324,5598,1.6,69.94,1.1,69.7,163
