state,Amount of People,Income,Life_Exp,Frost,date,born_year
Alabama,21252,4456,69.93,173,1964-12-24,1964
Alaska,18170,3356,68.22,154,1964-12-24,1964
Arizona,1169,5298,72.55,150,1964-12-24,1964
Arkansas,9415,6315,73.31,71,1964-12-24,1964
California,5394,3881,70.36,88,1964-12-24,1964
Colorado,20082,4083,73.11,96,1964-12-24,1964
Connecticut,2882,5261,72.4,49,1964-12-24,1964
Delaware,2579,3187,73.41,25,1964-12-24,1964
Florida,12755,4138,73.84,171,1964-12-24,1964
Georgia,9048,5874,72.54,186,1964-12-24,1964
Hawaii,8321,3669,69.89,56,1964-12-24,1964
Idaho,10926,6452,68.39,102,1964-12-24,1964
Illinois,9073,3271,74.6,167,1964-12-24,1964
Indiana,16658,4620,72.5,190,1964-12-24,1964
Iowa,18694,5207,72.09,56,1964-12-24,1964
Kansas,4832,5087,73.29,40,1964-12-24,1964
Kentucky,14133,5442,70.67,141,1964-12-24,1964
Louisiana,676,5786,72.77,164,1964-12-24,1964
Maine,11446,3456,69.11,184,1964-12-24,1964
Maryland,8930,6980,69.25,76,1964-12-24,1964
Massachusetts,21237,5079,69.07,199,1964-12-24,1964
Michigan,17678,6762,70.27,78,1964-12-24,1964
Minnesota,8146,3237,71.97,17,1964-12-24,1964
Mississippi,17755,6136,72.62,135,1964-12-24,1964
Missouri,20176,4733,74.5,182,1964-12-24,1964
Montana,10514,4634,72.55,30,1964-12-24,1964
Nebraska,8423,3920,68.15,1,1964-12-24,1964
Nevada,2626,5899,69.6,18,1964-12-24,1964
New Hampshire,17147,3974,71.4,146,1964-12-24,1964
New Jersey,19181,4936,71.31,168,1964-12-24,1964
New Mexico,14424,4451,71.27,165,1964-12-24,1964
New York,3524,3248,70.38,48,1964-12-24,1964
North Carolina,17873,4837,69.28,19,1964-12-24,1964
North Dakota,14820,6309,71.85,3,1964-12-24,1964
Ohio,3356,6794,69.65,102,1964-12-24,1964
Oklahoma,2221,3674,74.9,116,1964-12-24,1964
Oregon,9647,4732,73.11,124,1964-12-24,1964
Pennsylvania,5372,3777,74.78,191,1964-12-24,1964
Rhode Island,10576,3234,71.34,14,1964-12-24,1964
South Carolina,16940,3328,68.48,103,1964-12-24,1964
South Dakota,4228,6856,69.72,107,1964-12-24,1964
Tennessee,21840,5390,70.21,80,1964-12-24,1964
Texas,8121,4087,72.7,192,1964-12-24,1964
Utah,2677,3038,74.99,54,1964-12-24,1964
Vermont,16876,4086,70.44,72,1964-12-24,1964
Virginia,5469,4794,72.92,167,1964-12-24,1964
Washington,17632,3032,71.88,34,1964-12-24,1964
West Virginia,8966,3472,73.2,53,1964-12-24,1964
Wisconsin,11535,3833,73.97,13,1964-12-24,1964
Wyoming,3324,5598,69.94,163,1964-12-24,1964
