age,income,previous_purchases,purchase
56,54674,15,1
69,55854,13,1
46,66271,15,1
32,93688,4,1
60,58518,8,1
25,30267,1,0
38,21062,17,1
56,70448,5,1
36,26229,8,0
40,76793,0,1
28,67915,8,1
28,24632,15,1
41,23596,12,1
53,26168,8,1
57,27561,12,1
41,93794,8,1
20,46734,10,1
39,26371,3,0
19,46069,1,0
41,99905,5,1
61,32910,13,1
47,93479,3,1
55,97735,5,1
19,43275,18,1
38,92274,5,1
50,80004,1,1
29,82981,17,1
39,74553,12,1
61,68447,8,1
42,54529,18,1
66,95703,12,1
44,96090,10,1
59,37260,0,0
45,23812,6,1
33,48024,14,1
32,78656,0,1
64,47285,11,1
68,21605,6,1
61,91158,14,1
69,92303,18,1
20,47139,0,0
54,97149,16,1
68,76138,16,1
24,96125,2,1
38,33918,11,1
26,47446,5,0
56,33046,10,1
35,44818,2,1
21,24324,7,1
42,96323,13,1
31,29111,13,1
67,58110,9,1
26,36389,1,0
43,61427,13,1
19,99579,8,1
37,48746,2,1
45,20117,7,0
64,33234,15,1
24,73441,1,0
61,20846,5,0
25,30954,11,0
64,99239,4,1
52,66514,1,1
31,26469,15,1
34,50105,4,1
53,62101,14,1
67,84323,11,1
57,78067,3,1
21,69376,14,1
19,65587,10,1
23,56976,15,1
59,87584,5,1
21,98477,13,1
46,62533,17,1
35,21828,11,1
43,21917,10,1
61,40618,12,1
51,52254,10,1
27,67362,15,1
53,40128,14,1
31,79383,14,1
48,85545,3,1
65,29865,10,1
32,22219,18,1
25,59809,14,1
31,25287,3,1
40,54387,12,1
57,28512,18,1
38,21342,1,0
33,83076,13,1
62,39216,3,0
35,99767,15,1
64,46614,19,1
41,56258,13,1
43,62078,14,1
42,32219,2,0
62,20235,7,1
58,62929,15,1
46,87444,9,1
32,28567,3,0
62,90792,17,1
18,85441,1,1
42,93698,16,1
24,25415,12,1
26,56159,3,0
41,63925,10,1
18,25951,6,0
61,28007,11,1
25,61832,9,1
41,78596,6,1
28,50523,12,1
68,35524,6,1
34,39282,16,1
25,43930,9,0
52,20077,9,0
52,40611,3,0
50,36984,19,1
22,34060,3,0
59,63303,6,1
56,79207,0,1
58,95046,11,1
45,49287,12,1
24,59711,9,1
26,31954,14,1
25,93340,12,1
29,92101,8,1
51,91520,8,1
50,38574,14,1
65,29184,9,1
40,39096,9,1
41,87728,7,1
54,54016,15,1
52,31246,16,1
61,65558,4,1
57,38381,3,1
39,56455,17,1
44,24018,18,1
52,31302,3,1
18,87506,6,1
52,61157,9,1
54,74917,17,1
64,44519,18,1
31,76819,3,0
20,91324,9,1
18,25408,0,0
22,79379,17,1
43,45053,4,1
31,29446,14,1
56,20922,16,1
44,71356,2,0
26,30789,11,1
32,86656,1,1
32,64028,0,0
43,84484,16,1
59,52154,15,1
30,22336,4,0
68,87779,14,1
49,39029,2,1
56,79201,6,1
66,52265,10,1
69,63872,9,1
49,66197,8,1
21,75180,13,1
47,43710,12,1
54,49486,1,1
40,91907,2,1
56,91895,6,1
62,84435,17,1
32,60631,2,0
60,40103,9,1
46,84772,6,1
53,34382,8,1
30,23756,16,1
49,40609,10,1
24,36478,6,1
68,59666,13,1
39,95683,18,1
45,91315,3,1
19,97834,5,1
59,34153,9,1
62,96325,6,1
23,32999,12,1
45,75318,13,1
45,20814,3,0
61,96077,7,1
61,22443,4,0
37,95993,0,1
47,95916,3,1
28,93319,2,1
45,37368,8,1
42,35328,7,1
56,76942,0,1
50,47306,5,1
18,59915,8,1
44,57219,6,0
69,84644,3,1
30,80279,12,1
58,73028,16,1
20,20126,1,0
56,72329,4,1
23,47632,11,1
25,85310,7,1
44,75176,5,1
26,64327,7,1
54,88904,17,1
50,23797,2,1
68,67882,11,1
59,33718,2,0
61,54560,5,1
41,96589,1,1
32,42116,11,1
49,56244,1,0
49,21645,5,1
41,67523,16,1
58,39256,2,1
69,73173,1,1
66,57430,19,1
66,59282,7,1
69,83374,11,1
29,88244,3,0
56,31694,4,1
19,76264,12,1
20,95060,14,1
66,77545,15,1
54,59224,9,1
66,33224,15,1
34,60738,11,1
66,45150,16,1
19,83731,15,1
19,69688,11,1
45,93509,7,1
40,28577,19,1
54,28070,2,1
49,28666,15,1
50,77761,12,1
18,56368,18,1
36,26783,7,0
19,61914,4,0
61,90507,19,1
43,99026,7,1
49,87526,11,1
23,90835,0,1
49,65765,19,1
21,39956,5,1
28,66240,17,1
34,57148,7,0
55,24757,6,1
41,39097,0,0
22,30395,15,1
69,36241,11,1
51,47696,5,1
23,90480,19,1
39,66163,1,0
28,39816,13,1
65,69840,3,1
33,72853,0,1
50,44917,17,1
26,41566,12,1
23,95452,1,0
33,82823,8,1
46,40806,1,0
20,95520,8,1
37,21759,0,0
53,61949,10,0
36,22482,2,0
43,44442,19,1
20,53719,3,0
36,78066,17,1
37,22079,5,1
49,22717,2,1
24,79676,10,1
69,47952,14,1
58,62460,4,1
50,92847,19,1
57,38449,9,1
56,53536,11,1
35,84077,14,1
57,58258,16,1
18,68302,9,1
28,48865,5,1
45,26645,17,1
42,58000,12,1
67,46737,2,1
40,31485,9,1
48,58565,13,1
47,45522,5,1
59,85155,2,1
52,75168,15,1
24,72487,6,1
33,32342,19,1
43,60806,13,1
65,68770,8,1
69,98623,14,1
66,95629,2,1
19,72603,1,1
18,46399,1,0
65,96534,2,1
29,75106,17,1
22,50678,13,1
54,96218,19,1
49,83230,17,1
26,94055,9,1
58,76373,1,1
52,51480,0,0
36,88836,3,1
65,92258,13,1
33,59986,0,0
20,44160,13,1
37,99111,15,1
41,84929,13,1
50,93506,19,1
41,54911,2,0
69,51821,2,1
28,95039,8,1
66,80535,5,1
25,32175,12,0
53,74771,1,1
55,86358,7,1
57,37327,1,0
37,67057,3,1
52,26150,14,1
65,24425,3,0
42,36032,12,1
52,22198,11,1
42,80500,12,1
46,73394,13,1
35,40079,19,1
63,56220,17,1
35,61874,5,1
19,33859,10,0
52,70460,1,1
33,51419,18,1
58,28705,18,1
53,62880,4,1
50,43236,18,1
21,35358,1,0
50,96918,9,1
31,34596,1,0
38,53572,10,1
65,98757,17,1
37,21279,14,1
25,83197,8,1
24,82516,18,1
20,27083,8,0
34,37771,2,1
50,49975,8,1
65,65648,13,1
29,68285,18,1
68,39063,6,1
39,87642,15,1
39,57599,15,1
63,71920,0,1
47,48529,3,0
55,55954,3,1
55,47856,6,1
62,22573,7,0
68,98344,16,1
25,55367,4,0
44,80774,6,1
44,43752,19,1
51,75029,19,1
38,37685,3,1
47,71693,5,1
50,75961,6,1
45,96908,17,1
64,94532,4,1
50,76133,19,1
22,81268,2,1
65,58243,6,1
36,77384,13,1
21,51653,6,0
52,46657,4,0
66,59952,4,0
34,42180,1,0
61,98411,5,1
45,21622,14,1
47,68756,9,1
46,60809,6,1
63,36725,4,1
23,81396,0,1
52,71226,12,1
58,49402,17,1
54,24263,12,1
41,66828,17,1
46,67924,4,1
66,94182,12,1
63,79052,3,1
48,31664,16,1
52,55737,2,0
50,49373,16,1
69,56397,10,1
38,58709,19,1
49,81120,3,1
40,39250,1,0
50,41172,19,1
20,31555,15,1
35,98617,17,1
42,73276,7,1
59,77492,2,1
48,73002,8,1
20,92355,19,1
57,44762,5,1
63,31046,9,1
41,48769,9,1
67,73302,12,1
49,43150,16,1
64,88247,8,1
39,24853,16,1
40,41792,8,0
19,79129,8,1
44,94478,0,1
59,87298,1,1
19,51987,15,1
43,35850,0,0
34,32112,9,1
57,44058,17,1
50,65420,7,1
26,58890,10,1
60,86017,1,1
65,67304,7,1
56,52921,7,1
46,21524,16,1
59,35048,14,1
43,55111,16,1
52,57904,12,1
67,74912,18,1
42,54008,4,1
41,20060,11,1
30,94666,0,0
24,75337,4,1
53,33350,7,1
62,44354,12,1
37,65186,7,1
18,48145,10,1
25,54020,0,0
63,95186,12,1
33,40581,18,1
31,43051,2,0
29,71474,16,1
68,89626,4,1
40,26960,19,1
32,55772,7,1
45,41520,13,1
51,69481,3,1
19,56408,10,1
49,77134,19,1
40,40491,14,1
39,21341,18,1
68,64623,6,1
42,20338,18,1
39,91431,18,1
39,32254,10,0
66,71860,4,1
69,31344,4,1
59,21750,7,0
23,74756,9,1
32,87957,5,1
60,78053,14,1
54,90855,15,1
50,35896,16,1
25,75761,7,1
61,82552,7,1
61,97454,8,1
22,47935,1,0
56,57641,14,1
21,49711,17,1
23,90342,2,1
62,32182,16,1
49,76276,3,0
69,39541,3,1
47,64813,13,0
64,57198,8,1
52,28820,8,0
57,44070,17,1
69,89768,9,1
33,31122,3,0
30,93543,11,1
67,61786,7,1
59,26737,1,1
47,56062,12,1
36,74237,15,1
34,71571,1,1
36,45510,10,1
45,39426,9,1
43,57265,14,1
54,37850,16,1
43,86150,7,1
40,94910,17,1
26,72375,8,0
29,55435,7,1
18,77132,13,1
18,98945,17,1
64,22983,19,1
51,40662,19,1
49,43510,11,1
65,98187,18,1
42,60998,13,1
57,76846,16,1
62,26640,2,1
18,64547,6,0
33,74620,16,1
56,35317,11,1
22,27564,8,0
39,47345,14,1
46,99273,17,1
20,94859,12,1
29,94038,7,1
43,72393,13,1
33,86081,7,1
68,49430,13,1
54,95532,6,1
39,47788,11,1
46,68543,10,1
31,33919,10,1
45,89346,12,1
22,59974,17,1
64,36371,1,0
66,65084,14,1
47,49629,19,1
63,71184,17,1
69,81916,14,1
22,93972,18,1
29,82187,11,1
33,32984,12,0
43,53039,10,1
43,78606,4,0
65,30616,0,1
38,70072,2,1
56,44574,18,1
53,23430,6,1
50,32676,11,1
47,30816,14,1
54,52733,4,0
40,22050,14,1
27,53933,7,0
22,44951,9,0
53,52413,15,1
51,54801,7,0
69,75619,0,1
48,52913,11,0
27,60600,4,0
36,77775,2,1
49,55400,0,1
18,24494,3,0
22,94691,7,1
62,63001,2,1
21,87364,9,1
33,65028,1,1
41,57573,10,1
33,20806,9,0
19,76638,13,1
66,49757,6,1
45,54636,1,1
49,68280,8,1
44,44262,15,1
37,82211,12,1
41,74842,8,1
29,76979,19,1
67,58197,3,1
52,61844,9,1
50,84754,11,1
50,54157,16,1
68,97129,13,1
60,60042,13,1
54,81665,1,1
29,47376,19,1
20,75554,10,1
18,34199,15,1
50,70948,18,1
57,93781,5,1
27,92750,18,1
60,86262,4,1
61,66600,3,1
46,96898,14,1
30,82483,3,1
29,38297,19,1
48,50448,9,1
63,46172,2,0
19,62874,4,0
68,27657,5,1
67,45425,7,1
52,46685,6,1
40,44578,9,1
34,48831,5,1
43,27906,13,1
25,81413,3,1
46,74028,12,1
43,27287,19,1
27,53660,16,1
43,95758,6,1
51,80504,3,1
68,79720,13,1
58,54701,2,1
24,37674,4,0
21,43874,15,1
67,63642,19,1
62,85160,3,1
28,37602,1,0
46,45931,17,1
53,49192,18,1
42,66542,18,1
38,62520,16,1
53,84772,13,1
27,78762,18,1
54,70106,12,1
26,45559,11,0
41,53742,5,0
52,89669,3,1
66,41754,18,1
52,23972,15,1
65,90831,12,1
53,61873,3,1
35,29903,16,1
66,23020,0,0
56,61755,17,1
49,65648,19,1
41,29516,16,1
40,22396,14,1
49,39129,10,1
54,21591,12,0
29,31303,0,0
66,50561,16,1
30,91719,5,1
40,27314,3,1
42,39623,19,1
52,87675,15,1
58,85082,14,1
47,53130,14,1
34,71756,5,1
66,46292,14,1
